#{"t_start": 1748019731.112538, "env_id": "None"}
r,l,t
-94.016329,19,18.778487
-92.122629,20,18.812796
-93.140357,20,18.847208
-90.457453,20,18.89017
-94.007942,19,18.928263
-89.464571,20,18.967713
-93.598133,20,19.00368
-91.126534,20,19.037123
-87.929788,20,19.069921
-92.877254,20,19.100384
-91.786285,20,19.132579
-87.381845,20,19.167854
-91.905705,20,19.202326
-92.447979,20,19.240386
-94.051946,19,19.271306
-92.090641,20,19.310557
-92.066924,20,19.352715
-88.724249,20,19.387655
-88.819417,20,19.421269
-90.352672,20,19.459637
-87.723046,20,19.492757
-88.701502,20,19.532193
-90.664055,20,19.57943
-87.491912,20,19.625387
-87.369863,20,19.669865
-87.321882,20,19.702715
-92.526006,20,19.732738
-94.043501,19,19.761287
-92.879928,20,19.794518
-89.612921,20,19.836253
-93.993044,19,19.870658
-89.044592,20,19.909193
-93.928824,19,19.942558
-94.165581,19,19.984729
-88.359585,20,20.025605
-94.008263,19,20.063269
-92.015172,20,20.104165
-92.901279,20,20.144446
-92.475949,20,20.180067
-90.36683,20,20.219862
-93.971302,19,20.254691
-89.751486,20,20.292827
-88.579645,20,20.333056
-91.388854,20,20.365474
-87.284323,20,20.401993
-87.314812,20,20.435257
-89.062291,20,20.470113
-90.876305,20,20.503849
-88.066549,20,20.536069
-89.645893,20,20.577971
-89.137177,20,20.614734
-94.092432,19,20.666735
-92.996622,20,20.703669
-92.968702,20,20.742146
-91.464503,20,20.775216
-89.18249,20,20.805615
-89.409632,20,20.847273
-89.751643,20,20.885527
-89.128897,20,20.923848
-94.115902,19,20.95235
-90.208365,20,20.985691
-89.294496,20,21.020077
-91.233317,20,21.065968
-93.035807,20,21.099898
-88.057621,20,21.134833
-93.329373,20,21.166552
-89.361426,20,21.200994
-91.440641,20,24.681633
-93.951068,19,24.710636
-94.145831,19,24.737638
-94.013969,19,24.768005
-88.199231,20,24.810968
-88.240265,20,24.848059
-92.889193,20,24.887995
-88.332124,20,24.926496
-87.67487,20,24.963813
-94.011503,19,24.995825
-89.382692,20,25.030115
-93.292558,20,25.062525
-93.913987,19,25.09502
-94.072046,19,25.137219
-88.414405,20,25.170504
-87.815139,20,25.20763
-91.501812,20,25.244345
-91.711224,20,25.282997
-94.042535,19,25.332886
-93.999875,19,25.369914
-93.986381,19,25.407309
-93.980881,19,25.436119
-89.824823,20,25.477435
-93.995414,19,25.510788
-89.210427,20,25.549452
-90.994797,20,25.58239
-91.718766,20,25.61468
-88.125267,20,25.652555
-88.056601,20,25.687321
-94.020322,19,25.722819
-92.327143,20,25.765152
-89.329696,20,25.804687
-93.990732,19,25.84581
-89.692285,20,25.88596
-88.325201,20,25.918892
-94.09495,19,25.949699
-94.064917,19,25.981497
-94.126674,19,26.010943
-93.241275,20,26.044488
-87.325785,20,26.076583
-88.123015,20,26.110158
-93.904406,19,26.144121
-94.066519,19,26.176688
-94.084799,19,26.207105
-89.688391,20,26.24348
-91.56075,20,26.27976
-90.212968,20,26.312732
-87.735633,20,26.360461
-87.466089,20,26.410236
-91.32382,20,26.452179
-88.552596,20,26.49733
-88.818403,20,26.535806
-91.292292,20,26.567816
-94.0892,19,26.600644
-93.408452,20,26.635544
-93.95457,19,26.679144
-87.755758,20,26.72601
-87.667641,20,26.762254
-90.485723,20,26.799773
-91.012929,20,26.84348
-90.454819,20,26.879104
-92.465653,20,26.916894
-88.160864,20,26.950071
-92.052217,20,26.983508
-94.186374,19,27.017697
-93.973351,19,27.049457
-88.352626,20,27.083406
-88.533704,20,27.119144
-90.540914,20,27.154541
-94.124122,19,27.190906
-94.166337,19,27.220718
-87.721777,20,27.312031
-94.127698,19,27.362547
-91.121114,20,27.406631
-87.999958,20,27.470869
-93.297734,20,27.514533
-92.354667,20,27.560491
-89.047,20,27.600708
-93.997814,19,27.639201
-89.474397,20,27.682475
-92.349891,20,27.728827
-94.1207,19,27.770096
-93.30138,20,27.815693
-92.857235,20,27.873075
-94.087147,19,27.916263
-87.683609,20,27.963753
-94.015138,19,28.011976
-90.497198,20,28.061615
-88.55549,20,28.109421
-93.972073,19,28.150459
-90.394902,20,28.219319
-93.969088,19,28.266717
-87.242151,20,28.311297
-90.277119,20,28.361789
-87.281688,20,28.401092
-93.99866,19,28.441433
-93.949321,19,28.503114
-91.087857,20,28.54954
-91.559943,20,28.58984
-88.023811,20,28.632677
-91.277891,20,28.68399
-93.940728,19,28.734857
-87.252499,20,28.7832
-91.301352,20,28.820948
-90.252251,20,32.153312
-94.026755,19,32.183391
-89.654093,20,32.215173
-88.638125,20,32.249459
-93.986445,19,32.280284
-94.096024,19,32.311454
-93.990274,19,32.346294
-89.894578,20,32.37913
-87.479564,20,32.410294
-87.578088,20,32.440692
-91.07419,20,32.474647
-87.785185,20,32.513781
-90.187205,20,32.558527
-91.838887,20,32.595785
-91.85725,20,32.630779
-87.626096,20,32.668831
-88.157711,20,32.775213
-94.098712,19,32.830005
-88.910359,20,32.875311
-89.47212,20,32.916431
-94.024754,19,32.954525
-90.995274,20,32.998661
-94.057784,19,33.036391
-87.635069,20,33.084319
-94.068675,19,33.128541
-87.281329,20,33.172818
-90.373452,20,33.221767
-87.668572,20,33.269088
-94.00481,19,33.332723
-88.4085,20,33.388121
-93.92515,19,33.419896
-90.105785,20,33.450111
-92.604159,20,33.486786
-94.116345,19,33.522681
-88.242973,20,33.563515
-89.740846,20,33.59407
-88.403374,20,33.628506
-90.881105,20,33.662836
-90.125386,20,33.694675
-87.256949,20,33.726545
-91.57963,20,33.764995
-90.76257,20,33.797424
-94.231122,19,33.843076
-90.231282,20,33.880211
-88.022623,20,33.916292
-89.323132,20,33.949008
-88.142459,20,33.98185
-94.053092,19,34.011286
-93.975732,19,34.046464
-90.524828,20,34.080929
-89.940541,20,34.11279
-90.21878,20,34.145192
